"host","exists","entities","links","broken"
"C:\Users\郭永涛\.trae\skills","True","25","190","149"
"C:\Users\郭永涛\.trae-cn\skills","True","39","36","19"
"C:\Users\郭永涛\.trae-local\skills","False","0","0","0"
"C:\Users\郭永涛\.codebuddy\skills","True","26","186","148"
"C:\Users\郭永涛\.claude\skills","True","6","31","17"
"C:\Users\郭永涛\.qoder-cn\skills","True","0","28","18"
"C:\Users\郭永涛\.qoder\skills","True","25","187","149"
"C:\Users\郭永涛\.qoderworkcn\skills","True","46","0","0"
"C:\Users\郭永涛\.iflow\skills","True","25","186","148"
"C:\Users\郭永涛\.kiro\skills","True","25","190","149"
"C:\Users\郭永涛\.qwen\skills","True","25","190","149"
"C:\Users\郭永涛\.codex\skills","True","2","0","0"
"C:\Users\郭永涛\.box-agent\skills","True","28","0","0"
"C:\Users\郭永涛\.agents\skills","True","79","0","0"
"C:\Users\郭永涛\.cc-switch\skills","True","20","0","0"
"C:\Users\郭永涛\.workbuddy\skills","True","55","0","0"
"C:\Users\郭永涛\.workbuddy-ai\skills","True","26","0","0"
"C:\Users\郭永涛\.config\agents\skills","True","26","0","0"
"C:\Users\郭永涛\.config\opencode\skills","True","25","0","0"
